disease,text,risk_level
emergency_condition,It started when i'm having unbearably chest pain that's radiating down my left arm and I'm sweating profusely after eating,Emergency
emergency_condition,"This morning, sudden excruciatingly headache like a thunderclap with vision changes I'm looking for guidance.",Emergency
medium_condition,Constipation that's been uncomfortable especially at night.,Medium
emergency_condition,"A few hours ago, i'm diabetic and my sugar is critically low, I'm shaking and confused Is this serious?",Emergency
low_condition,I'm suffering from slight stomach discomfort after eating too much,Low
high_condition,"Suddenly, significantly pain after an injury, possible fracture.",High
emergency_condition,"A few hours ago, sudden extremely shortness of breath, I feel like I'm drowning.",Emergency
medium_condition,"Suddenly, rash on my arm that appeared a few days ago, slightly itchy This is concerning me.",Medium
medium_condition,I've noticed that bloating and gas after meals since yesterday.,Medium
medium_condition,"This morning, bloating and gas after meals for a week Any suggestions?",Medium
high_condition,"Gradually, signs of infection spreading - redness expanding, feeling feverish Is this normal?",High
high_condition,"For a while now, fever that won't come down with medication, now having chills and sweating Please help.",High
low_condition,I've noticed that slight headache that comes and goes. Not too bothersome.,Low
emergency_condition,I woke up with extremely chest pressure and my arm is numb. I'm scared I'm looking for guidance.,Emergency
medium_condition,"This morning, sore throat that makes swallowing uncomfortable for the past few days I'm not sure what to do.",Medium
low_condition,I noticed minor insect bite that's a bit itchy I'm looking for guidance.,Low
low_condition,"Recently, small tension headache, probably from staring at screens too long What does this mean?",Low
low_condition,"Suddenly, want to know if I should be concerned about a mole Can you help?",Low
low_condition,I can't shake little bit of soreness in my shoulder from sleeping on it wrong What should I do?,Low
high_condition,"Coughing up blood out of nowhere, very worried about what this means Any suggestions?",High
medium_condition,"For a while now, back pain from sitting at my desk, it's mildly to moderately uncomfortable.",Medium
emergency_condition,"Last night, i was exposed to extreme cold, my fingers are white and I can't feel them I need advice.",Emergency
high_condition,"Gradually, very chest discomfort with irregular heartbeat for several hours.",High
low_condition,"This morning, a bit of indigestion after a heavy meal What should I do?",Low
low_condition,I woke up with slight stomach discomfort after eating too much Is this serious?,Low
low_condition,"For a while now, slight sore throat and mild cough, probably just a cold Please help.",Low
emergency_condition,I've developed i can't breathe properly and my lips are turning blue. I'm worried.,Emergency
medium_condition,I can't shake joint stiffness in the morning that improves throughout the day I need advice.,Medium
high_condition,I'm suffering from the pain in my abdomen is considerably and hasn't improved in hours Can you help?,High
emergency_condition,I'm suffering from i was in an accident and I'm losing a lot of blood gradually over time.,Emergency
emergency_condition,"This morning, sudden excruciatingly chest tightness with cold sweats and nausea. I think I'm having a heart attack What does this mean?",Emergency
emergency_condition,My heart is racing uncontrollably and I feel like I'm going to pass out for the past hour Any suggestions?,Emergency
high_condition,Sudden swelling in one calf with tenderness for two days I need advice.,High
low_condition,"I'm experiencing slight sore throat and mild cough, probably just a cold.",Low
medium_condition,Constipation that's been uncomfortable intermittently Should I be worried?,Medium
high_condition,"Gradually, one leg is much more swollen than the other with pain when walking I'm looking for guidance.",High
low_condition,"Today, eyes feel a bit dry and tired from reading Is this normal?",Low
medium_condition,I'm suffering from shoulder pain that makes it hard to raise my arm above my head,Medium
medium_condition,I've been having heartburn that's more frequent than usual lately What does this mean?,Medium
emergency_condition,"I've developed drank something toxic by accident, my vision is blurry and I'm vomiting Any suggestions?",Emergency
low_condition,I've noticed that wondering about vitamins and supplements Can you help?,Low
low_condition,"This morning, slight fatigue, nothing too concerning",Low
low_condition,"Gradually, want to discuss exercise recommendations.",Low
low_condition,I'm experiencing just a general wellness inquiry I hope it's nothing serious.,Low
medium_condition,"Knee pain when I walk, especially going up stairs for the past few days Please help.",Medium
high_condition,"I'm dealing with fever that won't come down with medication, now having chills and sweating It's really bothering me.",High
medium_condition,Headache that comes and goes especially at night. Over-the-counter meds help a little.,Medium
high_condition,"I'm suffering from uncontrolled vomiting all day, can't keep anything down What should I do?",High
high_condition,"It started when considerably back pain radiating down my leg, can barely walk Should I be worried?",High
low_condition,Sneezing and stuffy nose at rest. Typical cold symptoms What should I do?,Low
medium_condition,"Gradually, burning sensation when urinating all day. Need to go frequently.",Medium
high_condition,"Suddenly, seriously back pain radiating down my leg, can barely walk What does this mean?",High
medium_condition,"For a while now, rash on my arm that appeared a few days ago, slightly itchy.",Medium
emergency_condition,"Gradually, one side of my body went completely weak, I think I'm having a stroke It's really bothering me.",Emergency
high_condition,The pain in my abdomen is seriously and hasn't improved in hours I need advice.,High
high_condition,"I'm dealing with high temperature with stiff neck, light sensitivity bothers me a lot Is this serious?",High
emergency_condition,I'm dealing with excruciatingly bleeding from my head after a fall. Feeling very weak I need advice.,Emergency
low_condition,"I've noticed that my chronic condition is stable, just monitoring It's really bothering me.",Low
emergency_condition,"Can't catch my breath at all, chest is extremely tight This is concerning me.",Emergency
low_condition,"Suddenly, minor sunburn on my shoulders from being outside Please help.",Low
emergency_condition,I'm dealing with i can't understand what people are saying and my left side is weak I need advice.,Emergency
medium_condition,I can't shake pink eye - eye is red and watery with some discharge What does this mean?,Medium
medium_condition,"Gradually, twisted my ankle a few days ago, still somewhat swollen I'm not sure what to do.",Medium
emergency_condition,"For a while now, i can't breathe properly and my lips are turning blue. This is frightening What does this mean?",Emergency
medium_condition,"Ever since yesterday, skin infection that's not spreading but isn't healing either Can you help?",Medium
low_condition,I've developed general wellness question about my health Is this normal?,Low
medium_condition,Shoulder pain that makes it hard to raise my arm above my head,Medium
medium_condition,I've developed bumps on my skin that have been there gradually over time Is this normal?,Medium
medium_condition,I noticed skin infection that's not spreading but isn't healing either What should I do?,Medium
high_condition,"A few hours ago, sharp chest pain that's been persistent out of nowhere. Gets worse when I move.",High
medium_condition,"Twisted my ankle a few days ago, still noticeably swollen.",Medium
high_condition,"I'm dealing with infected cut that's getting worse, now have fever and chills Is this normal?",High
emergency_condition,I'm dealing with excruciatingly abdominal pain with vomiting blood. I need emergency help It's really bothering me.,Emergency
medium_condition,"Suddenly, nasal congestion and headache that's been bothering me during activity Is this serious?",Medium
high_condition,"Gradually, sudden hearing loss in one ear with dizziness What does this mean?",High
emergency_condition,"For a while now, severe burns covering my arm, the pain is excruciatingly and skin is blistering badly I'm looking for guidance.",Emergency
emergency_condition,I noticed i'm gasping for air and feel like I'm suffocating constantly Is this serious?,Emergency
medium_condition,"Last night, feeling more tired than usual for months now. Low energy throughout the day It's really bothering me.",Medium
low_condition,"This morning, minor insect bite that's a bit itchy What should I do?",Low
low_condition,Sneezing and stuffy nose since yesterday. Typical cold symptoms.,Low
medium_condition,"Ever since yesterday, loss of appetite for several hours but no other symptoms.",Medium
medium_condition,Upset stomach and mild nausea at rest. Not vomiting though What does this mean?,Medium
emergency_condition,"Can't catch my breath at all, chest is severely tight I need advice.",Emergency
high_condition,"I'm suffering from having thoughts of harming myself, I don't feel safe I'm looking for guidance.",High
low_condition,"Suddenly, i have a mild cold with runny nose and slight congestion Should I be worried?",Low
medium_condition,"Rash on my arm that appeared a few days ago, slightly itchy Is this serious?",Medium
emergency_condition,"Suddenly, i can't understand what people are saying and my left side is weak Is this normal?",Emergency
high_condition,I'm suffering from one leg is much more swollen than the other with pain when walking Should I be worried?,High
low_condition,It started when little bit of soreness in my shoulder from sleeping on it wrong Is this normal?,Low
medium_condition,"This morning, urinary urgency that's been bothersome during activity.",Medium
low_condition,I woke up with a bit of indigestion after a heavy meal.,Low
emergency_condition,My chest feels like it's being crushed and I can't catch my breath. This is frustrating.,Emergency
medium_condition,"Last night, skin infection that's not spreading but isn't healing either Any suggestions?",Medium
medium_condition,Headache that comes and goes out of nowhere. Over-the-counter meds help a little.,Medium
low_condition,I can't shake eyes feel a bit dry and tired from reading Is this serious?,Low
medium_condition,"Recently, frequent urination with mild discomfort. Worried about UTI I hope it's nothing serious.",Medium
low_condition,I'm dealing with small cut on my finger from cooking. Cleaned it up Is this normal?,Low
high_condition,"I noticed uncontrolled vomiting on and off, can't keep anything down I'm looking for guidance.",High
high_condition,"Recently, significantly chest discomfort with irregular heartbeat on and off I hope it's nothing serious.",High
emergency_condition,"Suddenly, severely abdominal pain with vomiting blood. I need emergency help Can you help?",Emergency
emergency_condition,I've noticed that severe allergic reaction - face is swelling and I'm having trouble breathing Can you help?,Emergency
medium_condition,"Knee pain when I walk, especially going up stairs since this morning I need advice.",Medium
high_condition,"I've been having significantly pain after an injury, possible fracture.",High
high_condition,"I'm suffering from diabetic with blood sugar reading of 350, feeling very unwell Any suggestions?",High
low_condition,"Ever since yesterday, slight headache that comes and goes. Not too bothersome What does this mean?",Low
medium_condition,I noticed persistent sore throat with mild fever gradually over time.,Medium
medium_condition,"Ever since yesterday, skin infection that's not spreading but isn't healing either I'm not sure what to do.",Medium
low_condition,"Ever since yesterday, just feeling a little tired today. Probably need more sleep This is concerning me.",Low
emergency_condition,I woke up with my heart is racing uncontrollably and I feel like I'm going to pass out all day.,Emergency
low_condition,I've developed looking for advice on better sleep What does this mean?,Low
medium_condition,Diarrhea for a week but no fever or blood,Medium
high_condition,"Today, severe dehydration - very dizzy, haven't urinated in hours I hope it's nothing serious.",High
medium_condition,"Gradually, shortness of breath when climbing stairs, gets better when I rest I'm looking for guidance.",Medium
medium_condition,"I'm experiencing muscle pain from exercising, quite sore especially at night What should I do?",Medium
medium_condition,I can't shake shoulder pain that makes it hard to raise my arm above my head I'm not sure what to do.,Medium
medium_condition,Mild dizziness when I stand up too fast What should I do?,Medium
medium_condition,Bloating and gas after meals during activity Is this normal?,Medium
high_condition,I'm suffering from i've been having chest pain that comes and goes with exertion after eating This is concerning me.,High
low_condition,Eyes feel a bit dry and tired from reading I hope it's nothing serious.,Low
high_condition,"I'm suffering from diabetic with blood sugar reading of 350, feeling very unwell Can you help?",High
low_condition,A bit of indigestion after a heavy meal Can you help?,Low
low_condition,I've developed slight bruise from bumping into furniture This is concerning me.,Low
emergency_condition,"Recently, i lost vision in one eye suddenly and my speech is slurred Should I be worried?",Emergency
emergency_condition,"Sudden life-threateningly headache, the worst of my life, with neck stiffness It's really bothering me.",Emergency
low_condition,I'm experiencing curious about healthy eating habits Should I be worried?,Low
emergency_condition,I've been having i woke up with severely chest pressure and my arm is numb. I'm scared I'm not sure what to do.,Emergency
high_condition,"Signs of infection spreading - redness expanding, feeling feverish I'm looking for guidance.",High
emergency_condition,I've developed i'm experiencing crushing chest pain with numbness in my jaw and left arm for two days.,Emergency
emergency_condition,"Today, my throat is closing up and I'm covered in hives. Can't breathe properly Please help.",Emergency
low_condition,I noticed regular check on my blood pressure medication What should I do?,Low
high_condition,"This morning, infected cut that's getting worse, now have fever and chills Is this serious?",High
emergency_condition,"Recently, sudden critically shortness of breath, I feel like I'm drowning.",Emergency
emergency_condition,"I'm experiencing one side of my body went completely weak, I think I'm having a stroke Please help.",Emergency
emergency_condition,I'm dealing with i'm having critically chest pain that's radiating down my left arm and I'm sweating profusely for months now I'm looking for guidance.,Emergency
low_condition,"A few hours ago, feeling a bit stressed but managing Is this normal?",Low
emergency_condition,I've been having severely bleeding from my head after a fall. Feeling very weak.,Emergency
medium_condition,"Last night, ear pain that started yesterday. Feels like pressure inside I'm looking for guidance.",Medium
high_condition,Intense headache with vision changes and nausea when I wake up I need advice.,High
high_condition,"I noticed severe anxiety attack that won't stop, heart racing for hours Is this serious?",High
high_condition,"I've noticed that wound is red, swollen, and warm with red streaks spreading up my arm I'm looking for guidance.",High
medium_condition,"Muscle pain from exercising, quite sore at rest I hope it's nothing serious.",Medium
emergency_condition,I woke up with severe allergic reaction - face is swelling and I'm having trouble breathing Can you help?,Emergency
medium_condition,"I've been having mild wheezing when I exercise, goes away after rest I need advice.",Medium
low_condition,Sneezing and stuffy nose for the past few days. Typical cold symptoms What does this mean?,Low
emergency_condition,"Ever since yesterday, i woke up with severely chest pressure and my arm is numb. I'm scared",Emergency
emergency_condition,"Last night, my throat is swelling shut and I can't swallow. I think it's anaphylaxis It's really bothering me.",Emergency
high_condition,Persistent high fever for a week with a rash that's spreading Can you help?,High
low_condition,Slight nausea that came and went quickly What does this mean?,Low
low_condition,I've developed feeling under the weather with mild cold symptoms I'm not sure what to do.,Low
emergency_condition,"This morning, i was exposed to extreme cold, my fingers are white and I can't feel them What should I do?",Emergency
low_condition,"For a while now, feeling under the weather with mild cold symptoms I'm looking for guidance.",Low
low_condition,"Gradually, slight bruise from bumping into furniture Is this serious?",Low
low_condition,I'm experiencing small pimple that's slightly irritated This is concerning me.,Low
low_condition,"Gradually, minor muscle ache from working out yesterday I'm looking for guidance.",Low
high_condition,"For a while now, seriously abdominal pain in the lower right side, worse when I move This is concerning me.",High
low_condition,I've noticed that feeling under the weather with mild cold symptoms I hope it's nothing serious.,Low
medium_condition,Headache that comes and goes since this morning. Over-the-counter meds help a little.,Medium
emergency_condition,"I can't shake i overdosed on medication and I'm feeling very drowsy, can barely stay awake Is this serious?",Emergency
emergency_condition,"I've been having uncontrollable convulsions, this has never happened before.",Emergency
emergency_condition,I've noticed that i woke up with excruciatingly chest pressure and my arm is numb. I'm scared This is concerning me.,Emergency
medium_condition,I've been having i've had a cough that won't go away especially at night. It's getting annoying.,Medium
low_condition,"Last night, minor scrape on my knee from a fall. Already stopped bleeding I hope it's nothing serious.",Low
emergency_condition,It started when i'm having excruciatingly chest pain that's radiating down my left arm and I'm sweating profusely for months now Is this normal?,Emergency
emergency_condition,"This morning, i think I'm going into anaphylactic shock. Lips and tongue are swelling What does this mean?",Emergency
medium_condition,Upset stomach and mild nausea all day. Not vomiting though Is this serious?,Medium
medium_condition,I can't shake hoarse voice that's been going on on and off What does this mean?,Medium
high_condition,"Signs of infection spreading - redness expanding, feeling feverish Is this normal?",High
high_condition,I woke up with abscess that's growing larger and more painful on and off.,High
low_condition,"Recently, minor seasonal allergies acting up Is this serious?",Low
low_condition,"Today, slight stomach discomfort after eating too much Can you help?",Low
low_condition,I noticed want to discuss exercise recommendations Is this serious?,Low
low_condition,I've been having slight stomach discomfort after eating too much What does this mean?,Low
medium_condition,"Last night, bumps on my skin that have been there during activity Is this serious?",Medium
high_condition,"I can't shake notably pain after an injury, possible fracture.",High
medium_condition,I've noticed that urinary urgency that's been bothersome for the past few days Should I be worried?,Medium
low_condition,"I've been having small tension headache, probably from staring at screens too long What should I do?",Low
low_condition,"Last night, just a general wellness inquiry Can you help?",Low
low_condition,"A few hours ago, general wellness question about my health This is concerning me.",Low
low_condition,I noticed a bit of indigestion after a heavy meal Is this serious?,Low
low_condition,I'm dealing with small pimple that's slightly irritated This is concerning me.,Low
medium_condition,"Muscle pain from exercising, quite sore on and off What should I do?",Medium
low_condition,I have a mild cold with runny nose and slight congestion.,Low
low_condition,I woke up with minor muscle ache from working out yesterday What should I do?,Low
medium_condition,"Twisted my ankle a few days ago, still noticeably swollen Is this normal?",Medium
high_condition,I've developed abscess that's growing larger and more painful constantly.,High
high_condition,I'm suffering from quite chest discomfort with irregular heartbeat especially at night.,High
emergency_condition,I can't shake my throat is swelling shut and I can't swallow. I think it's anaphylaxis I need advice.,Emergency
low_condition,"A few hours ago, mild back stiffness in the morning, goes away after moving What does this mean?",Low
medium_condition,"I'm experiencing neck stiffness from sleeping wrong, hard to turn my head Please help.",Medium
emergency_condition,I noticed i woke up with life-threateningly chest pressure and my arm is numb. I'm scared.,Emergency
low_condition,"Last night, slight stomach discomfort after eating too much Please help.",Low
high_condition,I've been having intense headache with vision changes and nausea for two days.,High
medium_condition,Burning sensation when urinating at rest. Need to go frequently.,Medium
high_condition,"For a while now, eye injury with pain, blurred vision, and sensitivity to light Can you help?",High
emergency_condition,"Severe burns covering my arm, the pain is critically and skin is blistering badly.",Emergency
medium_condition,"Suddenly, nasal congestion and headache that's been bothering me on and off What does this mean?",Medium
low_condition,I've developed paper cut on my finger. Already applied bandaid What does this mean?,Low
emergency_condition,"I've developed i overdosed on medication and I'm feeling very drowsy, can barely stay awake.",Emergency
high_condition,"For a while now, intense headache with vision changes and nausea on and off.",High
medium_condition,I'm dealing with feeling run down and not quite right for two days.,Medium
low_condition,I've noticed that slight nausea that came and went quickly What should I do?,Low
low_condition,"This morning, minor muscle ache from working out yesterday Should I be worried?",Low
low_condition,"Today, wondering about vitamins and supplements Please help.",Low
low_condition,"Ever since yesterday, prescription refill needed.",Low
high_condition,"Suddenly, wound is red, swollen, and warm with red streaks spreading up my arm I'm not sure what to do.",High
emergency_condition,"Gradually, sudden excruciatingly weakness on one side, I can't move my arm or leg.",Emergency
medium_condition,Diarrhea suddenly but no fever or blood What does this mean?,Medium
emergency_condition,"Today, i'm bleeding heavily from a wound and can't stop it. Blood is everywhere It's really bothering me.",Emergency
medium_condition,I've noticed that i've had a cough that won't go away for two days. It's getting annoying.,Medium
medium_condition,"Gradually, persistent sore throat with mild fever gradually over time.",Medium
medium_condition,I've developed chest feels a bit tight in the mornings at rest.,Medium
medium_condition,Headache that comes and goes after eating. Over-the-counter meds help a little.,Medium
emergency_condition,It started when high fever with stiff neck and I can't tolerate light - possible meningitis Can you help?,Emergency
emergency_condition,"I'm experiencing deep cut that won't stop bleeding, I'm feeling dizzy from blood loss Please help.",Emergency
low_condition,"For a while now, prescription refill needed What does this mean?",Low
low_condition,Prescription refill needed This is concerning me.,Low
low_condition,Minor sunburn on my shoulders from being outside.,Low
low_condition,"I noticed mild back stiffness in the morning, goes away after moving",Low
medium_condition,I've developed hoarse voice that's been going on intermittently.,Medium
high_condition,"notably pain after an injury, possible fracture It's really bothering me.",High
medium_condition,"I'm experiencing muscle pain from exercising, quite sore constantly Is this serious?",Medium
high_condition,"Uncontrolled vomiting constantly, can't keep anything down.",High
low_condition,I've developed want to know if I should be concerned about a mole It's really bothering me.,Low
high_condition,I noticed persistent cough with blood-tinged mucus and chest pain.,High
emergency_condition,Sharp stabbing chest pain that gets worse when I breathe. I'm exhausted from this.,Emergency
medium_condition,"For a while now, ear pain that started yesterday. Feels like pressure inside Any suggestions?",Medium
medium_condition,I noticed mild dizziness when I stand up too fast I need advice.,Medium
high_condition,"I've developed severe headache after hitting my head, now feeling confused Please help.",High
emergency_condition,"A few hours ago, sharp stabbing chest pain that gets worse when I breathe. I don't know what to do.",Emergency
emergency_condition,"Last night, i think I'm going into anaphylactic shock. Lips and tongue are swelling Can you help?",Emergency
high_condition,I've developed abscess that's growing larger and more painful at rest.,High
high_condition,"Recently, infected cut that's getting worse, now have fever and chills This is concerning me.",High
medium_condition,"This morning, shortness of breath when climbing stairs, gets better when I rest I hope it's nothing serious.",Medium
medium_condition,I'm experiencing skin infection that's not spreading but isn't healing either It's really bothering me.,Medium
high_condition,Pain in my chest when I take deep breaths all day Any suggestions?,High
medium_condition,I've developed persistent sore throat with mild fever when I wake up.,Medium
emergency_condition,"Today, sudden life-threateningly headache, the worst of my life, with neck stiffness.",Emergency
high_condition,"This morning, the pain in my abdomen is significantly and hasn't improved in hours.",High
high_condition,"I've noticed that wound is red, swollen, and warm with red streaks spreading up my arm",High
low_condition,I noticed curious about healthy eating habits Should I be worried?,Low
high_condition,Heart palpitations that won't stop constantly. Feeling anxious and weak,High
emergency_condition,"I've noticed that life-threateningly difficulty breathing, I can barely get any air in.",Emergency
low_condition,I woke up with minor scrape on my knee from a fall. Already stopped bleeding What does this mean?,Low
medium_condition,I've had a cough that won't go away after eating. It's getting annoying.,Medium
emergency_condition,"Can't catch my breath at all, chest is unbearably tight Should I be worried?",Emergency
high_condition,I noticed the pain in my abdomen is notably and hasn't improved in hours I hope it's nothing serious.,High
high_condition,I've been having high fever of 104°F with confusion and severe headache since this morning.,High
emergency_condition,I lost consciousness and woke up confused with no memory of what happened What does this mean?,Emergency
low_condition,I've developed minor insect bite that's a bit itchy Please help.,Low
high_condition,"I'm experiencing eye injury with pain, blurred vision, and sensitivity to light.",High
emergency_condition,excruciatingly abdominal pain with vomiting blood. I need emergency help I'm not sure what to do.,Emergency
medium_condition,"Recently, ear pain that started yesterday. Feels like pressure inside Please help.",Medium
high_condition,Pain in my chest when I take deep breaths all day Is this normal?,High
low_condition,"Recently, little bit of soreness in my shoulder from sleeping on it wrong Please help.",Low
low_condition,"Today, feeling a bit off but nothing specific.",Low
emergency_condition,"A few hours ago, i can't understand what people are saying and my left side is weak I hope it's nothing serious.",Emergency
medium_condition,"I've been having muscle pain from exercising, quite sore for the past few days.",Medium
medium_condition,"Today, feeling run down and not quite right for two days.",Medium
high_condition,"I've been having severe headache after hitting my head, now feeling confused Please help.",High
high_condition,"Ever since yesterday, signs of infection spreading - redness expanding, feeling feverish Any suggestions?",High
high_condition,It started when chest tightness and shortness of breath during any physical activity.,High
emergency_condition,My chest feels like it's being crushed and I can't catch my breath. I'm terrified I need advice.,Emergency
emergency_condition,"I'm dealing with i was exposed to extreme cold, my fingers are white and I can't feel them Is this serious?",Emergency
emergency_condition,I've been having sharp stabbing chest pain that gets worse when I breathe. I don't know what to do.,Emergency
emergency_condition,"A few hours ago, i'm diabetic and my sugar is critically low, I'm shaking and confused Please help.",Emergency
high_condition,"I'm suffering from severe dehydration - very dizzy, haven't urinated in hours This is concerning me.",High
high_condition,"Gradually, leg is swollen, warm, and painful - possible blood clot This is concerning me.",High
medium_condition,I've developed joint stiffness in the morning that improves throughout the day,Medium
medium_condition,"Ever since yesterday, mild dizziness when I stand up too fast I'm not sure what to do.",Medium
low_condition,"Slight fatigue, nothing too concerning I'm looking for guidance.",Low
emergency_condition,I woke up with critically chest pressure and my arm is numb. I'm scared I'm looking for guidance.,Emergency
emergency_condition,I can't shake sudden critically headache like a thunderclap with vision changes.,Emergency
emergency_condition,"Gradually, my chest feels like it's being crushed and I can't catch my breath. I'm really scared.",Emergency
medium_condition,"Knee pain when I walk, especially going up stairs for the past few days.",Medium
medium_condition,"Gradually, eczema flare-up that's mildly to moderately itchy and bothering me Is this normal?",Medium
medium_condition,"Today, feeling run down and not quite right for the past few days.",Medium
emergency_condition,severely abdominal pain with vomiting blood. I need emergency help.,Emergency
medium_condition,I've been having constipation that's been uncomfortable all day.,Medium
low_condition,It started when minor seasonal allergies acting up I'm looking for guidance.,Low
low_condition,I woke up with slight bruise from bumping into furniture What does this mean?,Low
high_condition,"Recently, feeling very depressed and hopeless, need to talk to someone urgently It's really bothering me.",High
high_condition,"I've noticed that feeling very depressed and hopeless, need to talk to someone urgently Should I be worried?",High
low_condition,I noticed minor scrape on my knee from a fall. Already stopped bleeding What does this mean?,Low
high_condition,I'm experiencing intense headache with vision changes and nausea for months now.,High
emergency_condition,"Gradually, i'm bleeding heavily from a wound and can't stop it. Blood is everywhere.",Emergency
medium_condition,"I noticed shortness of breath when climbing stairs, gets better when I rest I need advice.",Medium
medium_condition,Diarrhea at rest but no fever or blood Please help.,Medium
medium_condition,"Suddenly, heartburn that's more frequent than usual lately I'm not sure what to do.",Medium
emergency_condition,"Suddenly, i was in an accident and I'm losing a lot of blood for a week.",Emergency
high_condition,"Ever since yesterday, one leg is much more swollen than the other with pain when walking Is this serious?",High
low_condition,I'm dealing with dry skin patch on my elbow that's a bit itchy Should I be worried?,Low
emergency_condition,It started when i'm having a seizure and can't stop shaking. I'm panicking Is this serious?,Emergency
high_condition,Abscess that's growing larger and more painful since this morning.,High
medium_condition,"I've been having shortness of breath when climbing stairs, gets better when I rest Any suggestions?",Medium
medium_condition,"A few hours ago, frequent urination with mild discomfort. Worried about UTI I hope it's nothing serious.",Medium
high_condition,"It started when feeling very depressed and hopeless, need to talk to someone urgently I'm looking for guidance.",High
medium_condition,"Mild wheezing when I exercise, goes away after rest I hope it's nothing serious.",Medium
emergency_condition,"Today, pregnant with severe abdominal pain and heavy bleeding What does this mean?",Emergency
low_condition,I'm suffering from a bit of indigestion after a heavy meal This is concerning me.,Low
medium_condition,"Suddenly, mild dizziness when I stand up too fast This is concerning me.",Medium
medium_condition,I'm dealing with headache that comes and goes during activity. Over-the-counter meds help a little I need advice.,Medium
low_condition,I woke up with question about my medication dosage Can you help?,Low
medium_condition,"I've developed muscle pain from exercising, quite sore for two days.",Medium
high_condition,I'm suffering from i've been having chest pain that comes and goes with exertion for the past hour.,High
emergency_condition,"Ever since yesterday, i was in an accident and I'm losing a lot of blood at rest.",Emergency
high_condition,"Suddenly, persistent cough with blood-tinged mucus and chest pain I hope it's nothing serious.",High
medium_condition,I'm suffering from constipation that's been uncomfortable at rest.,Medium
low_condition,"Gradually, feeling under the weather with mild cold symptoms Is this serious?",Low
low_condition,I'm experiencing just a general wellness inquiry.,Low
medium_condition,"Recently, nasal congestion and headache that's been bothering me for months now I'm looking for guidance.",Medium
high_condition,"Recently, uncontrolled vomiting suddenly, can't keep anything down.",High
medium_condition,"Neck stiffness from sleeping wrong, hard to turn my head Any suggestions?",Medium
emergency_condition,I was in an accident and I'm losing a lot of blood for the past hour I need advice.,Emergency
emergency_condition,"Today, high fever with stiff neck and I can't tolerate light - possible meningitis Please help.",Emergency
emergency_condition,Sudden extremely headache like a thunderclap with vision changes It's really bothering me.,Emergency
low_condition,I've noticed that dry skin patch on my elbow that's a bit itchy It's really bothering me.,Low
low_condition,"A few hours ago, mild seasonal sniffles What does this mean?",Low
medium_condition,"Last night, rash on my arm that appeared a few days ago, slightly itchy Please help.",Medium
low_condition,I can't shake chapped lips from the cold weather This is concerning me.,Low
