disease,text,risk_level
irritable bowel syndrome,"Flatulence is so uncomfortable, yet I feel like I can’t talk about it.",Medium
oral mucosal lesion,"Toothaches have been persistent, and I suspect it might be due to my gum pain.",Medium
huntington disease,"Feeling anxious all the time is draining, and I wish I knew why.",Low
peripheral arterial embolism,I can’t shake off this strange numbness in my left leg.,Low
heart block,I'm concerned about the peripheral edema; my legs are unusually swollen.,Emergency
peritonitis,I’m feeling weak and dizzy from this awful abdominal pain.,Emergency
gastrointestinal hemorrhage,"I fainted after vomiting blood, and it scared me deeply.",Emergency
esophageal varices,I’m tired of feeling nauseous; I wish I could find some relief.,Low
kidney cancer,"My doctor said the kidney mass is nothing, but I still worry.",Low
protein deficiency,"I've experienced some mild depression, and I wonder if my protein intake is too low.",Low
genital herpes,These painful urination episodes are really affecting my daily activities.,Low
thyroid disease,"I've noticed a neck mass forming, and it's making me feel uneasy.",Low
sickle cell crisis,I feel like I'm about to vomit from all this overwhelming pain.,Emergency
idiopathic nonmenstrual bleeding,My sharp abdominal pain is interfering with my daily activities.,Low
conjunctivitis due to virus,I’ve had this fever along with the eye irritation for days now.,Medium
fracture of the shoulder,"I thought the pain would subside by now, but it’s still pretty intense.",Low
acute sinusitis,"Every time I cough, my sore throat feels like it's on fire.",Medium
chronic kidney disease,"I feel so cold all the time, even when it's warm outside.",Emergency
cervical disorder,The vaginal itching is so uncomfortable; I can’t focus on anything else.,Low
autism,"He’s been showing depressive symptoms, and I don’t know how to help him feel better.",Emergency
perirectal infection,"I've noticed abnormal skin around my rectal area, and it looks infected.",Low
cysticercosis,"My headaches are unbearable, and I feel trapped by this cysticercosis diagnosis.",Emergency
endometrial cancer,"I've noticed some vaginal itching recently, and it's just adding to my stress.",Low
trichomonas infection,"The symptoms of trichomonas, like sharp abdominal pain, are really taking a toll on me.",Medium
tic (movement) disorder,I often feel misunderstood due to my abnormal movements; it’s frustrating.,Low
pulmonary eosinophilia,"Feels like there's an elephant sitting on my chest, and it's terrifying.",Emergency
open wound of the face,I’m frustrated with how much my facial pain affects my daily life.,Low
fetal alcohol syndrome,"Occasionally, I lash out at friends, and then I regret it later.",Low
idiopathic painful menstruation,The combination of vaginal discharge and menstrual pain is incredibly frustrating.,Medium
conductive hearing loss,"Sometimes, I have a constant ringing in my ears that drives me crazy.",Medium
prostatitis,"Every time I try to urinate, it’s incredibly painful and distressing.",Medium
overflow incontinence,I’ve started avoiding social situations due to my incontinence issues.,Low
dysthymic disorder,"It feels like I’m stuck in a fog, and I can’t remember anything.",Medium
malaria,I can’t believe I’m dealing with a lump in my knee just because of malaria.,High
hematoma,I'm really concerned about the skin swelling that won’t go down.,Low
cysticercosis,"Every time I have a seizure, I feel more and more helpless with this cysticercosis.",Emergency
dislocation of the elbow,Sometimes I feel a bit down because my arm pain limits what I can do.,Low
hashimoto thyroiditis,The involuntary movements in my arms make simple tasks feel impossible.,Low
drug abuse (methamphetamine),I feel like I'm drowning in this drug abuse; the panic attacks won’t stop.,Emergency
injury to the face,Is it normal to have ear pain after a blow to the face?,Medium
developmental disability,"My brother’s temper problems escalate quickly, making it hard for anyone to approach him.",Emergency
hyperopia,I’m tired of squinting; I never thought my vision would get this bad.,Low
neonatal jaundice,"The doctor said it was normal, but my baby seems unusually irritable with this jaundice.",Low
ovarian cyst,I've had enough of the constant intermenstrual bleeding; it's exhausting and embarrassing.,Medium
arthritis of the hip,I can barely move my leg without feeling sharp hip pain.,Medium
cornea infection,The itchiness is so bad that I find myself rubbing my eye constantly.,Medium
intestinal disease,I can’t keep going on like this—the burning abdominal pain and fainting are too much!,Emergency
coronary atherosclerosis,"I'm completely fatigued, and the chest tightness won't go away.",Emergency
problem during pregnancy,I just want to know why I'm experiencing so much pelvic pain lately.,Medium
injury to the finger,"I thought I just sprained my finger, but the pain is unbearable.",Low
neurofibromatosis,The headaches make it hard to concentrate on my daily tasks.,Low
rocky mountain spotted fever,It’s frustrating dealing with wrist pain while trying to stay active.,Low
ectopic pregnancy,Why does the sharp abdominal pain keep getting worse every day?,Medium
corneal abrasion,I didn't realize how debilitating a corneal abrasion could be until now.,Medium
central retinal artery or vein occlusion,"I’ve been noticing some blind spots lately, which feels very alarming.",Low
dislocation of the foot,The dull ache in my foot is really bothering me today.,Low
diabetic ketoacidosis,I woke up with sharp abdominal pain and felt so weak.,Emergency
meningioma,"The depressive feelings just won’t go away, and it's becoming overwhelming.",Low
injury to the spinal cord,"Every time I bend down, my back pain flares up unexpectedly.",Low
acute bronchospasm,"The tightness in my chest is so bad, I can’t lie down comfortably.",Emergency
ingrown toe nail,"The pain from my ingrown toenail is driving me crazy, and I just want it to go away.",Medium
ectropion,The constant watering only adds to my eye discomfort each day.,Low
dislocation of the foot,I didn't expect foot pain to linger this long after the injury.,Low
stomach cancer,I've noticed some heartburn that I just can't seem to shake off.,Low
lice,I can’t focus at work with this constant itching on my scalp.,Low
eustachian tube dysfunction (ear disorder),Why am I dealing with dizziness every time I bend over?,Medium
concussion,I woke up feeling groggy and confused; is this how it’s supposed to feel?,Medium
glucocorticoid deficiency,The constant diarrhea makes it impossible for me to enjoy meals anymore.,High
atelectasis,The sharp chest pain I feel makes it hard to take a deep breath.,Emergency
injury to the spinal cord,My back pain has made it difficult to do even simple tasks.,Low
typhoid fever,"This wrist pain is so frustrating, especially with this stubborn fever.",Low
seborrheic dermatitis,The dryness on my face makes me self-conscious in social situations.,Medium
esophageal cancer,Every meal feels like a struggle with this awful bloating.,Emergency
abscess of the lung,I'm struggling with severe shortness of breath and it's making everyday tasks impossible.,High
deep vein thrombosis (dvt),"My leg has been feeling unusually heavy, and it's concerning.",Low
drug abuse (methamphetamine),"I keep drinking alcohol to cope, but it's just making my depression worse.",Emergency
connective tissue disorder,I wish my doctors would take my difficulty in swallowing more seriously.,Low
alzheimer disease,"I experience these unsettling feelings, like something’s just not right in my mind.",Medium
alcoholic liver disease,I didn't think drinking could cause these strange movements; I'm really concerned.,Low
fracture of the vertebra,I'm constantly reminded of my fracture by this nagging hip pain.,Medium
priapism,The discomfort from the persistent penis pain is unbearable at times.,Low
connective tissue disorder,"My joints ache every morning, and it really makes getting out of bed a struggle.",Low
chronic rheumatic fever,The sharp pain in my chest makes me worry about my heart.,Emergency
prostate cancer,The loss of intimacy from impotence is painful beyond words.,Medium
spinal stenosis,Lower body pain makes walking around the block a daunting challenge.,Medium
white blood cell disease,I feel like I’m constantly battling chills and fatigue with this white blood cell disease.,Medium
amyloidosis,I’m overwhelmed with anxiety because I can’t control my body anymore.,High
prostatitis,The lower abdominal pain is unbearable and always seems to come out of nowhere.,Medium
acute kidney injury,"My urine output has decreased, and I'm experiencing sharp abdominal discomfort.",Emergency
fracture of the pelvis,It’s disheartening to see no changes in the groin pain I feel.,Low
myocarditis,Sharp chest pain is constant; it makes every day feel like a struggle.,High
spontaneous abortion,The sudden onset of pelvic pain had me fearing that I was losing my baby.,Medium
foreign body in the vagina,"There's a strange vaginal discharge, and I’m worried about it.",Low
dumping syndrome,It's disappointing when what I eat leads to such uncomfortable symptoms.,Low
dislocation of the patella,The tightness in my knee is making physical therapy harder than I anticipated.,Low
fibrocystic breast disease,"Sometimes, I feel like I have to avoid certain activities because of my breast soreness.",Low
g6pd enzyme deficiency,"I get random coughing fits, and it makes me worry about my health.",Low
thyroid nodule,I have this weird neck mass that just won’t go away.,Low
central retinal artery or vein occlusion,The irregular heartbeat I feel sometimes adds to my anxiety about my vision.,Low
bone disorder,I didn’t expect back pain to hit me so early in life.,Low
skin disorder,"The roughness of my skin has increased lately, making my daily routine difficult.",Medium
nose disorder,The facial pain and cough are making it impossible to sleep.,Emergency
pituitary disorder,Why do I keep having these random hot flashes? It's so frustrating.,Low
orthostatic hypotension,I can’t trust my body anymore; I’m scared of passing out again.,Emergency
gastroesophageal reflux disease (gerd),The sharp abdominal pain feels like a knife twisting inside me; help!,Emergency
pulmonic valve disease,The anxiety from my breathing troubles makes everything harder.,High
callus,I’m worried about the abnormal appearance of my skin where the callus is located.,Medium
lewy body dementia,I can’t stand it when my thoughts seem jumbled and out of control.,Low
lice,I never thought I’d be dealing with itchy scalp issues at my age.,Low
injury to the leg,My ankle is so swollen; it’s hard to walk without limping.,Medium
atrial flutter,Chest tightness and irregular heartbeat made me call 911 last night.,Emergency
rhabdomyolysis,"With all this pain and these strange symptoms, I need immediate medical attention.",Emergency
essential tremor,"Lately, I've noticed a disturbance of memory that worries me.",Low
gastroesophageal reflux disease (gerd),The hoarseness in my voice makes it hard to speak; I’m exhausted.,Emergency
open wound of the nose,I can’t believe how often I’ve had headaches from this nose issue.,Low
overflow incontinence,I struggle with hand stiffness and find it hard to do simple tasks.,Low
dengue fever,I've been feeling a sore throat and the fatigue is really holding me back.,Low
hyperlipidemia,My smoking habit is making my sharp chest pain from hyperlipidemia even more concerning.,High
deviated nasal septum,"The noise from my breathing is disturbing, and I'm worried it's getting worse.",Emergency
volvulus,I felt sharp abdominal pain that made it hard to focus on anything else.,Low
neuropathy due to drugs,"Since taking these drugs, my coordination has completely gone downhill.",Low
ankylosing spondylitis,My quality of life has dropped significantly due to my hip pain.,Medium
encephalitis,I can’t shake this insomnia; it’s ruining my ability to concentrate.,Low
necrotizing fasciitis,The hip pain I dismissed is now affecting my sleep quality.,Low
myelodysplastic syndrome,"I struggle with difficulty speaking, and it’s so frustrating.",Low
tourette syndrome,It's hard to enjoy activities when my symptoms constantly distract me.,Low
folate deficiency,Sharp abdominal pain is keeping me up at night along with my breathing issues.,Emergency
huntington disease,I can't shake this nervousness; it's affecting my sleep and mood.,Low
syndrome of inappropriate secretion of adh (siadh),My vision sometimes feels crossed; it adds to my dizziness and unease.,Low
itching of unknown cause,"The peeling skin on my hands is so itchy, it’s impacting my daily activities.",Medium
impulse control disorder,It’s frustrating to lose control and yell at my loved ones for no reason.,Medium
idiopathic nonmenstrual bleeding,The unpredictability of my menstruation is really affecting my plans.,Low
athlete's foot,The skin rash on my foot has me scratching like crazy—I just need relief!,Medium
cervical disorder,I can’t seem to shake off this persistent pelvic pain; it's exhausting.,Low
essential tremor,I'm struggling with dizziness that makes it hard to focus on anything.,Low
adrenal cancer,I’m bothered by the dizziness; it makes it hard to focus on anything.,Low
insulin overdose,That overdose left me battling a storm of negative feelings.,Low
laryngitis,The tightness in my throat makes me feel panicked at times.,Medium
oral thrush (yeast infection),My irritability has skyrocketed since these lesions showed up on my tongue.,Medium
subacute thyroiditis,The constant uterine contractions are worrying me so much.,Low
melanoma,The skin lesions on my arms are starting to look really concerning.,Medium
premature ventricular contractions (pvcs),"Every time I feel those irregular heartbeats, I get dizzy and fear I might faint.",Emergency
abdominal aortic aneurysm,I’ve never felt a sharp abdominal pain like this; it’s making me panic.,Emergency
priapism,I didn't realize that alcohol abuse could lead to such problems.,Low
fracture of the ankle,"My toes are always tingling, and it worries me after my fall.",Low
cystitis,I wake up several times a night because of the frequent urination; I'm so tired.,Medium
ganglion cyst,I can’t believe how much knee pain I’m experiencing from that lump; it’s making walking a challenge.,Medium
conjunctivitis due to bacteria,"I’ve got this pesky conjunctivitis, but thankfully no fever yet.",Low
smoking or tobacco addiction,My headaches are relentless; I think it’s from the withdrawal.,Emergency
knee ligament or meniscus tear,"My knee feels slightly unstable, causing me to worry when I walk.",Low
spinocerebellar ataxia,"I try to stay active, but my coordination issues hold me back.",Low
rosacea,I’m tired of feeling like a walking target with these visible skin moles.,Medium
anemia of chronic disease,I feel like I’m constantly battling weakness; it shouldn't be this way.,Low
endometriosis,Heavy menstrual flow makes me feel like I can't leave the house half the time.,Medium
molluscum contagiosum,I can't believe how long this skin rash from molluscum contagiosum has lasted.,Medium
pseudotumor cerebri,My eye pain makes it hard to enjoy simple things like reading.,Low
bladder cancer,"The groin mass is concerning, and I can’t help but feel anxious.",Low
bunion,The skin growth on my foot is really annoying and painful at times.,Low
toxic multinodular goiter,I’ve started getting pretty anxious about my irregular heartbeat; it’s hard to relax.,Low
food allergy,I'm so tired of unexpected coughing fits after eating at restaurants.,Medium
lymphedema,"Living with this throat swelling feels like a constant, unwelcome distraction.",Medium
diverticulitis,"Diarrhea has become a daily struggle, and I can’t find relief.",Medium
brachial neuritis,The constant worry about my symptoms adds to my stress levels.,Medium
sarcoidosis,I’m experiencing sharp chest pain that keeps getting worse; I don’t know what to do.,Emergency
foreign body in the ear,"My hearing is diminished, and I can’t figure out what’s going on with my ear.",Low
conjunctivitis due to bacteria,"I’m keeping an eye on the redness, but I’m hoping it stays mild.",Low
presbyacusis,It’s exhausting to deal with the constant ringing in my ears each day.,Low
allergy,The fluid retention in my legs makes it hard to walk comfortably.,Medium
spherocytosis,I wish this skin rash would just clear up for good.,Low
hydatidiform mole,"I've been feeling so dizzy lately, and I'm really worried about what it means.",Low
dry eye of unknown cause,I woke up with a white discharge from my eye and it's so frustrating.,Medium
hydronephrosis,I never expected such persistent side pain to be part of my life now.,Medium
alcohol intoxication,"Every time I drink, I end up with sharp pain in my chest; it’s alarming.",Emergency
open wound of the cheek,I didn’t realize an open wound could cause such persistent facial pain.,Low
polycystic ovarian syndrome (pcos),Pelvic pain has become such a normal part of my day; it's exhausting.,Medium
sinus bradycardia,I’ve experienced irregular heartbeats and I’m terrified it’s serious.,Emergency
ischemic heart disease,I had to sit down because of the muscle pain and intense shortness of breath.,Emergency
hypocalcemia,My legs are so weak I feel like I might collapse any moment.,Emergency
pneumothorax,I feel like I'm suffocating; the chest pain is relentless.,Emergency
psychosexual disorder,"My partner is understanding, but my impotence is still hard to accept.",Low
ulcerative colitis,The sharp abdominal pain wakes me up at night and ruins my sleep.,Medium
coronary atherosclerosis,Why am I experiencing such severe chest tightness out of the blue?,Emergency
broken tooth,I'm struggling with dry lips and tooth pain thanks to my broken tooth.,Low
hypertension of pregnancy,I can’t shake off these painful contractions; they leave me feeling exhausted.,Low
